Id,Old Name,New Name,Notes
7220,Picc Collab infused pre-roll sundae driver 1g,Washington Packaging And Processing Picc Sundae Driver Infused Pre-roll 1g,renamed
7216,m80 dynalite infused pre-roll electric watermelon .5g,Washington Packaging And Processing Picc Electric Watermelon Infused,renamed
7215,m80 dynalite infused pre-roll double kush cake .5g,Washington Packaging And Processing Picc Double Kush Cake Infused Pre-roll,renamed
7210,Diamond Back Gorilla infused pre-roll Glitter bomb 1g,Washington Packaging And Processing Picc Glitter Bomb Hash Burger Infused,renamed
7127,Sky High Gardens Rosin Sin Soda 1g,Sky High Gardens Sin Soda Rosin 1g,renamed
7126,Sky High Gardens Rosin Sundae Ecstacy 1g,Sky High Gardens Sundae Ecstacy Rosin 2,renamed
7114,Sky High Gardens Pre-roll Truffle N Flow 1.2g,Sky High Gardens Truffle N Flow Pre-roll 1.2g,renamed
7109,Sky High Gardens Pre-roll Sundae Ecstacy 1.2g,Sky High Gardens Sundae Ecstacy Pre-roll 2,renamed
7012,High End Farms Flower Tropical Banana 1g,Hang Roots High End Farms Tropical Banana Pre-roll 1g,renamed
6953,Deaux Flower Crowned Woodnymph 3.5g,Olympus Horticulture Llc Deaux Crowned Woodnymph Flower 3.5g,renamed
6947,Deaux Pre-roll Whiskered Tree Swift 1.2g,Olympus Horticulture Llc Deaux Whiskered Tree Swift Pre-roll 1.2g,renamed
6946,Deaux Pre-roll Storm Wigeon 1.2g,Olympus Horticulture Llc Deaux Storm Wigeon Pre-roll 1.2g,renamed
6945,Deaux Pre-roll Pompadour Contiga 1.2g,Olympus Horticulture Llc Deaux Pompadour Cotinga Pre-roll 1.2g,renamed
6944,Deaux Pre-roll Goldfinch 1.2g,Olympus Horticulture Llc Deaux Goldfinch Pre-roll 1.2g,renamed
6943,Deaux Pre-roll Crowned Woodnymph 1.2g,Olympus Horticulture Llc Deaux Crowned Woodnymph Pre-roll 1.2g,renamed
6858,Ooowee - 1g Hydrocarbon Concentrate - Ooowee - Late Bloomer - 1g,Sustainable Organic Solutions Ooowee Late Bloomer Bho 1g,renamed
6830,Canna Organix Infused Pre-roll Forbidden Fruit,Canna Organix Forbidden Fruit Roll On 1g,renamed
6829,Canna Organix Infused Pre-roll 501st Og - 1g,Canna Organix 501st Og Infused Pre-roll 1g,renamed
6742,lil Ray's - Sugar Free Pineapple Lemonade - 100mg,Dogtown Pioneers Lil' Rays Sugar Free Pineapple Lemonade Beverage 1.7floz,renamed
6741,lil Ray's - Sugar Free Dragon Fruit Lemonade - 100mg,Dogtown Pioneers Lil' Rays Sugar Free Dragon Fruit Lemonade Beverage,renamed
